SELECT 44690546
CREATE INDEX
 platform | partition | upperid |   lowerid   | count |   eid    
       29 |        -1 |  728237 |  -176855763 |     2 | 35986242
       29 |        -1 |  728239 |   -43620707 |     2 | 35948999
       29 |        -1 |  728239 |   -43620707 |     2 | 35986244
       29 |        -1 |  728239 |   -43201667 |     2 | 35949005
       29 |        -1 |  728239 |   -43201667 |     2 | 35986249
       29 |        -1 |  728239 |   -42937148 |     2 | 35949009
       29 |        -1 |  728239 |   -42937148 |     2 | 35986251
       29 |        -1 |  728239 |   -42601043 |     2 | 35949014
       29 |        -1 |  728239 |   -42601043 |     2 | 35986255
       29 |        -1 |  728239 |   -42048434 |     2 | 35949018
       29 |        -1 |  728239 |   -42048434 |     2 | 35986263
       29 |        -1 |  728239 |   -41922722 |     2 | 35949020
       29 |        -1 |  728239 |   -41922722 |     2 | 35986264
       29 |        -1 |  728239 |   -41831057 |     2 | 35949021
       29 |        -1 |  728239 |   -41831057 |     2 | 35986266
       29 |        -1 |  728239 |   -41176307 |     2 | 35949026
       29 |        -1 |  728239 |   -41176307 |     2 | 35986271
       29 |        -1 |  728239 |   -41052341 |     2 | 35949029
       29 |        -1 |  728239 |   -41052341 |     2 | 35986272
       29 |        -1 |  728239 |   -40986866 |     2 | 35949031
       29 |        -1 |  728239 |   -40986866 |     2 | 35986273
       29 |        -1 |  728239 |   -40690919 |     2 | 35949034
       29 |        -1 |  728239 |   -40690919 |     2 | 35986275
       29 |        -1 |  728239 |   -40220372 |     2 | 35949039
       29 |        -1 |  728239 |   -40220372 |     2 | 35986280
       29 |        -1 |  728239 |   -40181960 |     2 | 35949040
       29 |        -1 |  728239 |   -40181960 |     2 | 35986283
       29 |        -1 |  728239 |   -40149659 |     2 | 35949042
       29 |        -1 |  728239 |   -40149659 |     2 | 35986284
       29 |        -1 |  728239 |   -39937520 |     2 | 35949045
       29 |        -1 |  728239 |   -39937520 |     2 | 35986287
       29 |        -1 |  728239 |   -39568241 |     2 | 35949049
       29 |        -1 |  728239 |   -39568241 |     2 | 35986289
       29 |        -1 |  728239 |   -39058409 |     2 | 35949054
       29 |        -1 |  728239 |   -39058409 |     2 | 35986293
       29 |        -1 |  728239 |   -38903015 |     2 | 35949055
       29 |        -1 |  728239 |   -38903015 |     2 | 35986294
       29 |        -1 |  728239 |   -38572148 |     2 | 35949059
       29 |        -1 |  728239 |   -38572148 |     2 | 35986298
       29 |        -1 |  728239 |   -38510165 |     2 | 35949060
       29 |        -1 |  728239 |   -38510165 |     2 | 35986300
       29 |        -1 |  728239 |   -38305010 |     2 | 35949062
       29 |        -1 |  728239 |   -38305010 |     2 | 35986305
       29 |        -1 |  728239 |   -38170568 |     2 | 35949063
       29 |        -1 |  728239 |   -38170568 |     2 | 35986306
       29 |        -1 |  728239 |   -37914779 |     2 | 35949067
       29 |        -1 |  728239 |   -37914779 |     2 | 35986310
       29 |        -1 |  728239 |   -37807400 |     2 | 35949068
