998 1 0.954852555172
998 2 0.689298456569
998 3 0.49047363448
998 4 0.508448174629
998 5 0.525200975645
998 6 0.500506321186
1005 1 0.479278171716
1005 2 0.483884265004
1005 3 0.475095517487
1005 4 0.484257917459
1005 5 0.499721053518
1005 6 0.487920825346
3429 1 0.972649422462
3429 2 1.00769043641
3429 3 0.619178126607
3429 4 0.519774466034
3429 5 0.524683094722
3429 6 0.534781991588
1235 1 0.306630782298
1235 2 0.304933797283
1235 3 0.302413716427
1235 4 0.313436993057
1235 5 0.32290249584
1235 6 0.31546301233
1237 1 0.306077914914
1237 2 0.3089522457
1237 3 0.292733426617
1237 4 0.307867889176
1237 5 0.321728729052
1237 6 0.3040598353472
