eid,b1_mctype,b2_mctype,b1tau_mctype,b2tau_mctype
141,Had,Dstarl,NoTau,NoTau
142,Dstarstar_res,Dstarl,NoTau,NoTau
143,Dstarstar_res,Dl,NoTau,NoTau
144,Dl,Dl,NoTau,NoTau
145,Dstarstar_res,Dl,NoTau,NoTau
146,Dstarl,Dl,NoTau,NoTau
147,Dstarl,Had,NoTau,NoTau
148,Dstarl,Had,NoTau,NoTau
149,Had,Dstarstar_nonres,NoTau,NoTau
150,Dl,Dstarl,NoTau,NoTau
151,Had,Dstarl,NoTau,NoTau
152,Dstarstar_res,Dstarl,NoTau,NoTau
153,Dstarstar_res,Had,NoTau,NoTau
154,Dstarl,Dtau,NoTau,tau_h
155,Had,Had,NoTau,NoTau
156,Dstarl,Dstarl,NoTau,NoTau
157,Dstarstar_res,Had,NoTau,NoTau
158,Had,Dstarl,NoTau,NoTau
159,Dstarstar_nonres,Had,NoTau,NoTau
160,Dstarl,Dstarstar_res,NoTau,NoTau
161,Dstarl,Had,NoTau,NoTau
162,Dstarl,Had,NoTau,NoTau
163,Had,Dstarl,NoTau,NoTau
164,Dstarl,Had,NoTau,NoTau
165,Dstarl,Dl,NoTau,NoTau
166,Had,Dstarl,NoTau,NoTau
167,Dstarl,Had,NoTau,NoTau
168,Had,Dstarl,NoTau,NoTau
169,Dl,Had,NoTau,NoTau
170,Dstarl,Had,NoTau,NoTau
171,Dstarl,Dstarl,NoTau,NoTau
172,Dstarstar_res,Dstarstar_res,NoTau,NoTau
173,Had,Had,NoTau,NoTau
174,Had,Dl,NoTau,NoTau
175,Dstarl,Had,NoTau,NoTau
176,Dstarl,Dstarl,NoTau,NoTau
177,Dstarstar_res,Dstartau,NoTau,tau_h
178,Dstarl,Dstarl,NoTau,NoTau
179,Had,Dl,NoTau,NoTau
180,Dl,Dl,NoTau,NoTau
181,Dstarl,Dl,NoTau,NoTau
182,Had,Dstarl,NoTau,NoTau
183,Had,Had,NoTau,NoTau
184,Dstarl,Dstarl,NoTau,NoTau
185,Dl,Had,NoTau,NoTau
186,Dstarstar_res,SL,NoTau,NoTau
187,Dstarl,Dl,NoTau,NoTau
188,Dstarstar_res,Dstarstar_res,NoTau,NoTau
189,Had,Dstarstar_res,NoTau,NoTau
190,Had,Dstarl,NoTau,NoTau
191,Dstarstar_res,Had,NoTau,NoTau
192,Dstarstar_nonres,Dstarstar_res,NoTau,NoTau
193,Dstarl,Dstarl,NoTau,NoTau
194,Dstarl,Dstarl,NoTau,NoTau
195,Dl,Dstarstar_res,NoTau,NoTau
196,Dl,Dstarstar_res,NoTau,NoTau
197,Had,Dstarstar_res,NoTau,NoTau
198,Had,Dstarl,NoTau,NoTau
199,Had,Dl,NoTau,NoTau
200,Dstarl,Had,NoTau,NoTau
201,Dstarl,Dstarl,NoTau,NoTau
202,Had,Dstarstar_res,NoTau,NoTau
203,Dstarl,Dstarl,NoTau,NoTau
204,Dstarl,Dstarl,NoTau,NoTau
205,Had,Dstarl,NoTau,NoTau
206,Had,Dstartau,NoTau,tau_h
207,Had,Had,NoTau,NoTau
208,Had,Dl,NoTau,NoTau
209,Dl,Had,NoTau,NoTau
210,Dl,Dstarstar_res,NoTau,tau_e
211,Had,Dstarl,NoTau,NoTau
212,Dl,Dstarl,NoTau,NoTau
213,Dstarl,Had,NoTau,NoTau
214,Had,Had,NoTau,NoTau
215,Dstarl,Had,NoTau,NoTau
216,Dstarl,Dstarl,NoTau,NoTau
217,Had,Dl,NoTau,NoTau
218,Dstarl,Dstarstar_res,NoTau,NoTau
219,Had,Dstarl,NoTau,NoTau
