eid,b1_mctype,b2_mctype,b1tau_mctype,b2tau_mctype
5214,Dstarl,Had,NoTau,NoTau
5215,Dstarl,Dstarl,NoTau,NoTau
5216,Dstarstar_res,Had,NoTau,NoTau
5217,Dstarstar_res,Dtau,tau_e,tau_e
5218,Dstarl,Had,NoTau,NoTau
5219,Dstarl,Dstarl,NoTau,NoTau
5220,Dstarstar_res,Dstarl,NoTau,NoTau
5221,Had,Dl,NoTau,NoTau
5222,Dstarl,Dstarl,NoTau,NoTau
5223,Dstarl,Dl,NoTau,NoTau
5224,Dstarl,Had,NoTau,NoTau
5225,Had,Dstarl,NoTau,NoTau
5226,Dstarl,Dstarstar_res,NoTau,NoTau
5227,Dl,Dstarl,NoTau,NoTau
5228,Dstarl,Had,NoTau,NoTau
5229,Dstarl,Had,NoTau,NoTau
5230,Dstarstar_res,Dl,NoTau,NoTau
5231,Dl,Dstarstar_res,NoTau,NoTau
5232,Dstarl,Had,NoTau,NoTau
5233,Dl,Had,NoTau,NoTau
5234,Dstarstar_res,Dstarl,NoTau,NoTau
5235,Dstarl,Had,NoTau,NoTau
5236,Dstartau,Dl,tau_h,NoTau
5237,Dstarl,Had,NoTau,NoTau
5238,Had,Had,NoTau,NoTau
5239,Had,Dl,NoTau,NoTau
5240,Had,Had,NoTau,NoTau
5241,Dstarl,Dstarstar_res,NoTau,NoTau
5242,Dstarstar_res,Dstarl,NoTau,NoTau
5243,Dstarl,Dl,NoTau,NoTau
5244,Had,Dstarl,NoTau,NoTau
5245,Dstartau,Dstarl,tau_h,NoTau
5246,Dstarl,Had,NoTau,NoTau
5247,Dstarstar_res,Dstarstar_nonres,NoTau,NoTau
5248,Dstarl,Had,NoTau,NoTau
5249,Dstarl,SL,NoTau,NoTau
5250,Dstarl,Had,NoTau,NoTau
5251,Had,Had,NoTau,NoTau
5252,Had,Dl,NoTau,NoTau
5253,Dstarl,Dstarl,NoTau,NoTau
5254,Dstarl,Dstarl,NoTau,NoTau
5255,Had,Dl,NoTau,NoTau
5256,Had,Had,NoTau,NoTau
5257,Had,Dstarl,NoTau,NoTau
5258,Had,Dtau,NoTau,tau_h
5259,Dstarl,Had,NoTau,NoTau
5260,Dstarstar_res,Had,NoTau,NoTau
5261,Dl,Dstarl,NoTau,NoTau
5262,Dstarl,Had,NoTau,NoTau
5263,Had,Had,NoTau,NoTau
5264,Dl,Dstarl,NoTau,NoTau
5265,Dstarl,Had,NoTau,NoTau
5266,Dstarl,Had,NoTau,NoTau
5267,Had,Dl,NoTau,NoTau
5268,Had,Had,NoTau,NoTau
5269,Dstarl,Had,NoTau,NoTau
5270,Had,Dstarl,NoTau,NoTau
5271,Had,Dstarl,NoTau,NoTau
5272,Had,Dstartau,NoTau,tau_h
5273,Dstarl,Dstartau,NoTau,tau_h
5274,Had,Dstarl,NoTau,NoTau
5275,Had,Dstarl,NoTau,NoTau
5276,Dstarl,Dstarl,NoTau,NoTau
5277,Dstarl,Had,NoTau,NoTau
5278,Had,Dstarl,NoTau,NoTau
5279,Dstartau,Dstarl,tau_h,NoTau
5280,Had,Dstarl,NoTau,NoTau
5281,Had,Had,NoTau,NoTau
5282,Had,Dstarl,NoTau,NoTau
5283,Dstarl,Had,NoTau,NoTau
5284,Had,Dstartau,NoTau,tau_h
5285,Had,Dstarl,NoTau,NoTau
5286,Had,Dstarl,NoTau,NoTau
5287,Dstarl,Had,NoTau,NoTau
5288,Dstarl,Had,NoTau,NoTau
5289,Had,Dstarl,NoTau,NoTau
5290,Dl,Dstarl,NoTau,NoTau
5291,Had,Had,NoTau,NoTau
5292,Dl,Had,NoTau,NoTau
5293,Dstarl,Had,NoTau,NoTau
5294,Had,Dl,NoTau,NoTau
5295,Had,Had,NoTau,NoTau
5296,Dstarl,Dl,NoTau,NoTau
5297,Dstarl,Dl,NoTau,NoTau
5298,Had,Had,NoTau,NoTau
5299,Dstarl,Had,NoTau,NoTau
5300,Dl,Had,NoTau,NoTau
5301,Dstarl,Had,NoTau,NoTau
5302,Had,Dstarl,NoTau,NoTau
5303,Had,Dstarl,NoTau,NoTau
5304,Dstarl,Had,NoTau,NoTau
5305,Dstarl,Dl,NoTau,NoTau
5306,Had,Had,NoTau,NoTau
5307,Dl,Dl,NoTau,NoTau
5308,Had,Dstarstar_res,NoTau,NoTau
5309,Dstarl,Dstarl,NoTau,NoTau
5310,Dstartau,Dstarl,tau_h,NoTau
5311,Dstarl,Dstarl,NoTau,NoTau
5312,Dl,Had,NoTau,NoTau
5313,Had,Dstarstar_res,NoTau,NoTau
5314,Dstarstar_res,Dstarstar_res,NoTau,NoTau
5315,Dstarstar_res,Had,tau_h,NoTau
5316,Dstarl,Had,NoTau,NoTau
5317,Dstarl,Dstarl,NoTau,NoTau
5318,Dl,Had,NoTau,NoTau
5319,Dstarstar_res,Dstarl,NoTau,NoTau
5320,Dstarl,Dstarl,NoTau,NoTau
5321,Dstartau,Dstarstar_res,tau_h,NoTau
5322,Dl,Dstarstar_res,NoTau,NoTau
5323,Dstarl,Dstarl,NoTau,NoTau
5324,Had,Dl,NoTau,NoTau
5325,Had,Had,NoTau,NoTau
5326,Dl,Dstarl,NoTau,NoTau
5327,Had,Dl,NoTau,NoTau
5328,Had,Dstarstar_nonres,NoTau,NoTau
5329,Had,Dstarstar_res,NoTau,NoTau
5330,Had,Dstarl,NoTau,NoTau
5331,Dstarstar_res,Dl,NoTau,NoTau
5332,Dstartau,Had,tau_h,NoTau
5333,Dstarl,Dl,NoTau,NoTau
5334,Dl,Dstarstar_res,NoTau,NoTau
5335,Had,Dstarl,NoTau,NoTau
5336,Dstarl,Dstarl,NoTau,NoTau
5337,Dl,Dstarl,NoTau,NoTau
5338,Dl,Dl,NoTau,NoTau
5339,Dl,Dstarl,NoTau,NoTau
5340,Had,Dstarl,NoTau,NoTau
5341,Dstarstar_res,Dstarl,NoTau,NoTau
5342,Dstarstar_res,Dstarl,tau_h,NoTau
5343,Dstarl,Dstarstar_res,NoTau,NoTau
5344,Dl,Had,NoTau,NoTau
5345,Dstarl,Had,NoTau,NoTau
5346,Dstarl,Dstarstar_res,NoTau,NoTau
5347,Had,Dstarl,NoTau,NoTau
5348,Had,Dstarstar_res,NoTau,NoTau
5349,Dstartau,Dstarstar_res,tau_mu,NoTau
5350,Dstarl,Dstarstar_res,NoTau,NoTau
5351,Dstarl,Dstarl,NoTau,NoTau
5352,Had,Dl,NoTau,NoTau
5353,Had,Dstarl,NoTau,NoTau
5354,Had,Dstarl,NoTau,NoTau
5355,Had,Had,NoTau,NoTau
5356,Dstarstar_res,Had,NoTau,NoTau
5357,Had,Had,NoTau,NoTau
5358,Dstarl,Dstarl,NoTau,NoTau
5359,Dstarl,Dstarl,NoTau,NoTau
5360,Had,Had,NoTau,NoTau
5361,SL,Dstarl,NoTau,NoTau
5362,Dstarl,Had,NoTau,NoTau
5363,Dstarstar_res,Dstarl,tau_h,NoTau
5364,Had,Dstarl,NoTau,NoTau
5365,Had,Had,NoTau,NoTau
5366,Had,Dl,NoTau,NoTau
5367,Dstarl,Dstarstar_res,NoTau,NoTau
5368,Dstarl,Dstarl,NoTau,NoTau
5369,Dl,Dstartau,NoTau,tau_h
5370,Dstarl,Had,NoTau,NoTau
5371,Dstarstar_res,Dl,NoTau,NoTau
5372,Dstarl,Had,NoTau,NoTau
5373,Dstarstar_res,Dstarl,NoTau,NoTau
5374,Dstarl,Had,NoTau,NoTau
5375,Had,Dl,NoTau,NoTau
5376,Dstarl,Had,NoTau,NoTau
5377,Had,Dl,NoTau,NoTau
5378,Had,Dstarstar_res,NoTau,NoTau
5379,Dl,Dstarl,NoTau,NoTau
5380,Had,Dl,NoTau,NoTau
5381,Dstarl,Dl,NoTau,NoTau
5382,Dstarl,Dstartau,NoTau,tau_h
5383,Dstarl,Had,NoTau,NoTau
5384,Dstarl,Dstartau,NoTau,tau_h
5385,Dstarl,Dtau,NoTau,tau_h
5386,Dstarl,Dstarl,NoTau,NoTau
5387,Had,Dstarl,NoTau,NoTau
5388,Dl,Had,NoTau,NoTau
5389,Dstarstar_res,Dstarl,tau_h,NoTau
5390,Dstarl,Had,NoTau,NoTau
5391,Dstarl,Dstarstar_res,NoTau,NoTau
5392,Dstarstar_res,Dstarstar_res,NoTau,NoTau
5393,Dl,Had,NoTau,NoTau
5394,Dl,Had,NoTau,NoTau
5395,Had,Had,NoTau,NoTau
5396,Had,Dl,NoTau,NoTau
5397,Dstarl,Had,NoTau,NoTau
5398,Dstarl,Dstarl,NoTau,NoTau
5399,Dstarl,Dstarl,NoTau,NoTau
5400,Dstarl,Dl,NoTau,NoTau
5401,Dl,Dstarl,NoTau,NoTau
5402,Dstarstar_res,Dstarl,NoTau,NoTau
5403,Had,Dstarl,NoTau,NoTau
5404,Dstartau,Had,tau_h,NoTau
5405,Dstarstar_nonres,Dstarl,NoTau,NoTau
5406,Dstarstar_res,Dl,NoTau,NoTau
5407,Dstartau,Had,tau_h,NoTau
5408,Dstarl,Dstarl,NoTau,NoTau
5409,Had,Dstarl,NoTau,NoTau
5410,Had,Dl,NoTau,NoTau
5411,Dstarl,Dstarl,NoTau,NoTau
5412,Dstarstar_res,Dstarl,NoTau,NoTau
5413,Dl,Dtau,NoTau,tau_h
5414,Dstarl,Dstarl,NoTau,NoTau
5415,Dl,Dl,NoTau,NoTau
5416,Dstarl,Had,NoTau,NoTau
5417,Had,Dl,NoTau,NoTau
5418,Dstarl,Dstarl,NoTau,NoTau
5419,Dstarstar_res,Had,NoTau,NoTau
5420,Had,Dstarstar_res,NoTau,NoTau
5421,Dstarl,Had,NoTau,NoTau
5422,Had,Dstarl,NoTau,NoTau
5423,Dl,Dstarl,NoTau,NoTau
5424,Had,Had,NoTau,NoTau
5425,Had,Dl,NoTau,NoTau
5426,Had,Dl,NoTau,NoTau
5427,Dstarl,Dl,NoTau,NoTau
5428,Dstarl,Dstarstar_res,NoTau,NoTau
5429,Dstarstar_res,Had,NoTau,NoTau
5430,Dstarl,Dl,NoTau,NoTau
5431,Dl,Dstarl,NoTau,NoTau
5432,Dstarl,Had,NoTau,NoTau
5433,Dstarstar_nonres,Dstarl,NoTau,NoTau
5434,Had,Dstarl,NoTau,NoTau
5435,Dstarl,Dstarstar_res,NoTau,NoTau
5436,Dstarl,Dstarl,NoTau,NoTau
5437,Had,Had,NoTau,NoTau
5438,Dstarstar_res,Dstarstar_res,NoTau,NoTau
5439,Dstarstar_res,Had,NoTau,NoTau
5440,Had,Dstarstar_res,NoTau,NoTau
5441,Dstarl,Dstartau,NoTau,tau_h
5442,Dstarl,Dstarl,NoTau,NoTau
5443,Had,Had,NoTau,NoTau
5444,Dl,Dstarl,NoTau,NoTau
5445,Had,Dl,NoTau,NoTau
5446,Dl,Had,NoTau,NoTau
5447,Had,Dl,NoTau,NoTau
5448,Dstarl,Dstarstar_res,NoTau,NoTau
5449,Had,Dstarl,NoTau,NoTau
5450,Dl,Dl,NoTau,NoTau
5451,Dstarl,Dstartau,NoTau,tau_h
5452,Had,Dstarl,NoTau,NoTau
5453,Dstarstar_res,Had,NoTau,NoTau
5454,Dstarl,Dstarstar_res,NoTau,NoTau
5455,Dstarl,Had,NoTau,NoTau
5456,Dstarl,Dstarl,NoTau,NoTau
5457,Had,Had,NoTau,NoTau
5458,Dstarl,Dstarl,NoTau,NoTau
5459,Dl,Had,NoTau,NoTau
5460,Dl,Dstarstar_res,NoTau,NoTau
5461,Dstarl,Dstarstar_res,NoTau,NoTau
5462,Dstarl,Dstarl,NoTau,NoTau
5463,Had,Dstarl,NoTau,NoTau
5464,Dstarl,Had,NoTau,NoTau
5465,Had,Dstarl,NoTau,NoTau
5466,Dstarl,Dl,NoTau,NoTau
5467,Dl,Had,NoTau,NoTau
5468,Had,Dstarl,NoTau,NoTau
5469,Had,Dl,NoTau,NoTau
5470,Had,Dtau,NoTau,tau_e
5471,Dl,Dstarl,NoTau,NoTau
5472,Dstarstar_res,Had,NoTau,NoTau
5473,Had,Dstarl,NoTau,NoTau
5474,Dstarl,Dstarstar_res,NoTau,tau_h
5475,Dstarstar_res,Had,NoTau,NoTau
5476,Had,Dstarl,NoTau,NoTau
5477,Dstarl,Dstarstar_res,NoTau,NoTau
5478,Dstarl,Had,NoTau,NoTau
5479,Had,Had,NoTau,NoTau
5480,Dl,Dstarstar_res,NoTau,NoTau
5481,Dstarl,Had,NoTau,NoTau
5482,Dstartau,Dstarl,tau_mu,NoTau
5483,Had,Dstarstar_res,NoTau,tau_h
5484,Dstartau,Dstarstar_res,tau_h,NoTau
5485,Dstarstar_res,Had,NoTau,NoTau
5486,Dstarl,Had,NoTau,NoTau
5487,Dl,Had,NoTau,NoTau
5488,Had,Dstarl,NoTau,NoTau
5489,Had,Had,NoTau,NoTau
5490,Had,Dl,NoTau,NoTau
5491,Had,Dstarl,NoTau,NoTau
5492,Had,Dstarl,NoTau,NoTau
5493,Dstarl,Had,NoTau,NoTau
5494,Dl,Dstarstar_res,NoTau,NoTau
5495,Dstarl,Dstarstar_res,NoTau,NoTau
5496,Dstarstar_res,Had,NoTau,NoTau
5497,Had,Dl,NoTau,NoTau
5498,Dl,Had,NoTau,NoTau
5499,Dstarl,Dstarl,NoTau,NoTau
5500,Had,Had,NoTau,NoTau
5501,Dstartau,Had,tau_h,NoTau
5502,Had,Dstarl,NoTau,NoTau
5503,Dstartau,Had,tau_h,NoTau
5504,Had,Dl,NoTau,NoTau
5505,Had,Had,NoTau,NoTau
5506,Had,Dstarl,NoTau,NoTau
5507,Had,Had,NoTau,NoTau
5508,Dl,Dstarl,NoTau,NoTau
5509,Dstarl,Dstarl,NoTau,NoTau
5510,Dstarstar_res,Had,NoTau,NoTau
5511,Dstarl,Had,NoTau,NoTau
5512,Dstarl,Dstarl,NoTau,NoTau
5513,Had,Dstartau,NoTau,tau_h
5514,Dstarl,Had,NoTau,NoTau
5515,Had,Had,NoTau,NoTau
5516,Dstarl,Had,NoTau,NoTau
5517,Had,Dl,NoTau,NoTau
5518,Dstarstar_res,Dstarl,NoTau,NoTau
5519,Dstarl,Dl,NoTau,NoTau
5520,Dl,Dstarl,NoTau,NoTau
5521,Dstarl,Dstarl,NoTau,NoTau
5522,Dstarl,Dstarl,NoTau,NoTau
5523,Dstarl,Had,NoTau,NoTau
5524,Had,Dstarl,NoTau,NoTau
5525,Dstarstar_res,Had,NoTau,NoTau
5526,Had,Dstarl,NoTau,NoTau
5527,Dstarstar_res,Dstartau,NoTau,tau_h
5528,Dstarl,Had,NoTau,NoTau
5529,Had,Dstarl,NoTau,NoTau
5530,Dstarstar_res,Had,NoTau,NoTau
5531,Had,Dtau,NoTau,tau_h
5532,Dstarl,Dl,NoTau,NoTau
5533,Dstarstar_res,Dstarstar_res,NoTau,tau_h
5534,Dl,Had,NoTau,NoTau
5535,Dstarstar_res,Had,NoTau,NoTau
5536,Dl,Dstarl,NoTau,NoTau
5537,Dstarl,Dstarl,NoTau,NoTau
5538,Had,Dstarl,NoTau,NoTau
5539,SL,Had,NoTau,NoTau
5540,Dl,Had,NoTau,NoTau
5541,Dl,Dstarstar_res,NoTau,NoTau
5542,Dstarstar_res,Had,NoTau,NoTau
5543,Dl,Had,NoTau,NoTau
5544,Dstarl,Had,NoTau,NoTau
5545,Had,Had,NoTau,NoTau
5546,Had,Dstarl,NoTau,NoTau
5547,Dstarl,Dstarl,NoTau,NoTau
5548,Dl,Had,NoTau,NoTau
5549,Had,Dstarl,NoTau,NoTau
5550,Had,Dstarl,NoTau,NoTau
5551,Dl,Had,NoTau,NoTau
5552,Had,Dl,NoTau,NoTau
5553,Had,Dstarl,NoTau,NoTau
5554,Dstarl,Dstarstar_res,NoTau,NoTau
5555,Dstarl,Had,NoTau,NoTau
5556,Dstarl,Dstarl,NoTau,NoTau
5557,Dstarstar_nonres,Dstarl,NoTau,NoTau
5558,Dstarstar_res,Dstarl,NoTau,NoTau
5559,Dstarstar_res,Dstarstar_res,NoTau,NoTau
5560,Had,Dstarstar_res,NoTau,NoTau
5561,Had,Dl,NoTau,NoTau
5562,Had,Dl,NoTau,NoTau
5563,Dstarl,Dstarl,NoTau,NoTau
5564,Dstarl,Had,NoTau,NoTau
5565,Dstarl,Dstarl,NoTau,NoTau
5566,Had,Dstarl,NoTau,NoTau
5567,Dstarl,Had,NoTau,NoTau
5568,Had,Dstarl,NoTau,NoTau
5569,Dstartau,Had,tau_h,NoTau
5570,Had,Dstarstar_res,NoTau,NoTau
5571,Dstarl,Had,NoTau,NoTau
5572,Dl,Had,NoTau,NoTau
5573,Dstarstar_res,Dstarl,NoTau,NoTau
5574,Dstarl,Had,NoTau,NoTau
5575,Dstarl,Dstarl,NoTau,NoTau
5576,Dstarl,Dl,NoTau,NoTau
5577,Dl,Dl,NoTau,NoTau
5578,Dstarl,Dstarl,NoTau,NoTau
5579,Had,Dstarl,NoTau,NoTau
5580,Dl,Had,NoTau,NoTau
5581,Dstarl,Dstarstar_res,NoTau,NoTau
5582,Had,Dstarl,NoTau,NoTau
5583,Had,Dstarl,NoTau,NoTau
5584,Dstarl,Had,NoTau,NoTau
5585,Dstarstar_res,Dtau,NoTau,tau_h
5586,Dl,Dstarstar_res,NoTau,NoTau
5587,Dstarl,Dstarl,NoTau,NoTau
5588,Dl,Dstarl,NoTau,NoTau
5589,Dstarstar_res,Had,NoTau,NoTau
5590,Had,Dstarl,NoTau,NoTau
5591,Dl,Had,NoTau,NoTau
5592,Dl,Had,NoTau,NoTau
5593,Had,Dtau,NoTau,tau_h
5594,Had,Dstarl,NoTau,NoTau
5595,Dstarstar_res,Dstarl,NoTau,NoTau
5596,Dstarstar_res,Had,NoTau,NoTau
5597,Dstarl,Had,NoTau,NoTau
5598,Dstarl,Dl,NoTau,NoTau
5599,Dstarl,Dstarl,NoTau,NoTau
5600,Dstarl,Dstarstar_res,NoTau,NoTau
5601,Had,Dl,NoTau,NoTau
5602,Dstarl,Dstarl,NoTau,NoTau
5603,Dl,Had,NoTau,NoTau
5604,Dstarl,Had,NoTau,NoTau
5605,Had,Dstarstar_nonres,NoTau,NoTau
5606,Dstarl,Dstarl,NoTau,NoTau
5607,Had,Had,NoTau,NoTau
5608,Had,Dstarl,NoTau,NoTau
5609,Dstarl,Dstarl,NoTau,NoTau
5610,Dstarstar_res,Dstarl,NoTau,NoTau
5611,Dstarstar_res,Dstartau,NoTau,tau_h
5612,Had,Dl,NoTau,NoTau
5613,Had,Dl,NoTau,NoTau
5614,Dstarl,Had,NoTau,NoTau
5615,Had,Dstarstar_res,NoTau,NoTau
5616,Had,Had,NoTau,NoTau
5617,Had,Had,NoTau,NoTau
5618,Had,Dstarl,NoTau,NoTau
5619,Dstarl,Dstarl,NoTau,NoTau
5620,Dstarl,Dstarl,NoTau,NoTau
5621,Dstarstar_res,Dstarl,NoTau,NoTau
5622,Dl,Dstarl,NoTau,NoTau
5623,Had,Dstarstar_nonres,NoTau,NoTau
5624,Had,Dstarl,NoTau,NoTau
5625,Dstarl,Dstarl,NoTau,NoTau
5626,Dstarstar_res,Dstarstar_nonres,NoTau,NoTau
5627,Had,Had,NoTau,NoTau
5628,Had,Dstarstar_res,NoTau,NoTau
5629,Had,Dstarstar_res,NoTau,NoTau
5630,Dstarl,Dstarl,NoTau,NoTau
5631,Had,Dstarl,NoTau,NoTau
5632,Had,Dstarl,NoTau,NoTau
5633,Had,Had,NoTau,NoTau
5634,Had,Dl,NoTau,NoTau
5635,Dl,Dstarstar_nonres,NoTau,NoTau
5636,Had,Had,NoTau,NoTau
5637,Had,Dstarstar_res,NoTau,NoTau
5638,Had,Had,NoTau,NoTau
5639,Dstarl,Dstarstar_res,NoTau,NoTau
5640,Dstarl,Had,NoTau,NoTau
5641,Had,Had,NoTau,NoTau
5642,Had,Had,NoTau,NoTau
5643,Dstarl,Had,NoTau,NoTau
5644,Dstarl,Had,NoTau,NoTau
5645,Dl,Had,NoTau,NoTau
5646,Dl,Dstarstar_nonres,NoTau,NoTau
5647,Dstarstar_res,Had,NoTau,NoTau
5648,Had,Had,NoTau,NoTau
5649,Dstarl,Dl,NoTau,NoTau
5650,Had,Dl,NoTau,NoTau
5651,Dtau,Dstarl,tau_h,NoTau
5652,Dstarl,Dstarstar_res,NoTau,NoTau
5653,Dstarl,Dl,NoTau,NoTau
5654,Dl,Had,NoTau,NoTau
5655,Dstarl,Dstarstar_res,NoTau,NoTau
5656,Dstarl,Dstarl,NoTau,NoTau
5657,Had,Had,NoTau,NoTau
5658,Dstarl,Dstarl,NoTau,NoTau
5659,Dl,Had,NoTau,NoTau
5660,Dstarstar_res,Dstarl,NoTau,NoTau
5661,Had,Dl,NoTau,NoTau
5662,Had,Had,NoTau,NoTau
5663,Had,Dl,NoTau,NoTau
5664,Dstarl,Had,NoTau,NoTau
5665,Had,Dstarl,NoTau,NoTau
5666,Dstarl,Dstartau,NoTau,tau_h
5667,Had,Dstarstar_res,NoTau,NoTau
5668,Dstarl,Dstarl,NoTau,NoTau
5669,Dstarl,Had,NoTau,NoTau
5670,Dstarstar_res,Dstarstar_res,NoTau,NoTau
5671,Dstarstar_res,Dstarl,NoTau,NoTau
5672,Had,Dstarl,NoTau,NoTau
5673,Dstarstar_res,Had,NoTau,NoTau
5674,Dstarl,Dstarl,NoTau,NoTau
5675,Dstarl,Dstarl,NoTau,NoTau
5676,Dstarl,Had,NoTau,NoTau
5677,Dstarl,Had,NoTau,NoTau
5678,Had,Had,NoTau,NoTau
5679,Dstarl,Had,NoTau,NoTau
5680,Dl,Dl,NoTau,NoTau
5681,Had,Dstarl,NoTau,NoTau
5682,Dl,Dtau,NoTau,tau_h
5683,Dstarl,Dstarl,NoTau,NoTau
5684,Dstarl,Had,NoTau,NoTau
5685,Had,Dstarstar_res,NoTau,NoTau
5686,Dstarstar_nonres,Had,NoTau,NoTau
5687,Had,Dstarstar_res,NoTau,NoTau
5688,Had,Dstarl,NoTau,NoTau
5689,Dstarstar_res,Had,NoTau,NoTau
5690,Had,Had,NoTau,NoTau
5691,Dstarl,Had,NoTau,NoTau
5692,Had,Dstarl,NoTau,NoTau
5693,Had,Dstarl,NoTau,NoTau
5694,Dstartau,Had,tau_h,NoTau
5695,Dl,Dstarl,NoTau,NoTau
5696,Had,Dstarstar_res,NoTau,NoTau
5697,Dl,Dstarl,NoTau,NoTau
5698,Had,Had,NoTau,NoTau
5699,Had,Dstarl,NoTau,NoTau
5700,Dstarl,Had,NoTau,NoTau
5701,Dl,Dstarl,NoTau,NoTau
5702,Dstarl,Dstarl,NoTau,NoTau
5703,Had,Dstarstar_res,NoTau,NoTau
5704,Dstarl,Dstarl,NoTau,NoTau
5705,Dstarl,Dl,NoTau,NoTau
5706,Dstarstar_res,Dstarl,NoTau,NoTau
5707,Dstarl,Had,NoTau,NoTau
5708,Had,Dstarl,NoTau,NoTau
5709,Dl,Had,NoTau,NoTau
5710,Dl,Had,NoTau,NoTau
5711,Dl,Dstarl,NoTau,NoTau
5712,Had,Dstartau,NoTau,tau_h
5713,Dstarl,Had,NoTau,NoTau
5714,Dstarl,Dstarl,NoTau,NoTau
5715,Dstarstar_nonres,Dl,NoTau,NoTau
5716,Dl,Dstarl,NoTau,NoTau
5717,Dstarstar_res,Had,NoTau,NoTau
5718,Dstarstar_res,Had,NoTau,NoTau
5719,Dstarl,Dstarstar_res,NoTau,NoTau
5720,Had,Had,NoTau,NoTau
5721,Had,Dl,NoTau,NoTau
5722,Dstarl,Dstarl,NoTau,NoTau
5723,Had,Had,NoTau,NoTau
5724,Dl,Dstarl,NoTau,NoTau
5725,Dstarstar_res,Had,NoTau,NoTau
5726,Had,Dl,NoTau,NoTau
5727,Dl,Had,NoTau,NoTau
5728,Had,Had,NoTau,NoTau
5729,Dstarstar_res,Had,NoTau,NoTau
5730,Had,Dstarl,NoTau,NoTau
5731,Dstartau,Had,tau_h,NoTau
5732,Dstarl,Had,NoTau,NoTau
5733,Had,Dl,NoTau,NoTau
5734,Had,Dstarl,NoTau,NoTau
5735,Dstarstar_res,Dstarl,NoTau,NoTau
5736,Dstarl,Had,NoTau,NoTau
5737,Had,Had,NoTau,NoTau
5738,Dstarstar_res,Dstarl,NoTau,NoTau
5739,Dl,Dstarl,NoTau,NoTau
5740,Had,Had,NoTau,NoTau
5741,Dl,Had,NoTau,NoTau
5742,Dstarstar_res,Had,NoTau,NoTau
5743,Had,Dstarl,NoTau,NoTau
5744,Dstarl,Dstarl,NoTau,NoTau
5745,Dstarl,Dl,NoTau,NoTau
5746,Dstarl,Had,NoTau,NoTau
5747,Had,Had,NoTau,NoTau
5748,Dstarl,Dstarl,NoTau,NoTau
5749,Had,Dl,NoTau,NoTau
5750,Dstarl,Dstarl,NoTau,NoTau
5751,Had,Had,NoTau,NoTau
5752,Dl,Dl,NoTau,NoTau
5753,Had,Had,NoTau,NoTau
5754,Dstarl,Had,NoTau,NoTau
5755,Dstarl,Dstarl,NoTau,NoTau
5756,Dstarstar_res,Dstarl,NoTau,NoTau
5757,Dstarl,Dstarl,NoTau,NoTau
5758,Had,Dstarl,NoTau,NoTau
5759,Had,Dstarl,NoTau,NoTau
5760,Dstarl,Dstarl,NoTau,NoTau
5761,Dstarl,Had,NoTau,NoTau
5762,Dstarl,Dstarl,NoTau,NoTau
5763,Dl,Dstarl,NoTau,NoTau
5764,Dl,Had,NoTau,NoTau
5765,Dstarl,Dl,NoTau,NoTau
5766,Had,Dstarl,NoTau,NoTau
5767,Dl,Had,NoTau,NoTau
5768,Dstarl,Had,NoTau,NoTau
5769,Dstarl,Had,NoTau,NoTau
5770,Had,Dstarl,NoTau,NoTau
5771,Dstarl,Dstarl,NoTau,NoTau
5772,Dstarl,Dstarstar_res,NoTau,NoTau
5773,Dstarl,Had,NoTau,NoTau
5774,Had,Dl,NoTau,NoTau
5775,Dstarl,Dstarl,NoTau,NoTau
5776,Dstarstar_res,Dstarl,tau_e,NoTau
5777,Dstarstar_nonres,Dstarl,NoTau,NoTau
5778,Dstarl,Dl,NoTau,NoTau
5779,Had,Dl,NoTau,NoTau
5780,Had,Dl,NoTau,NoTau
5781,Had,Had,NoTau,NoTau
5782,Dstarl,Dstarl,NoTau,NoTau
5783,Dstarl,Dtau,NoTau,tau_h
5784,Had,Dstarl,NoTau,NoTau
5785,Dstarl,Dstarl,NoTau,NoTau
5786,Had,Had,NoTau,NoTau
5787,Had,Had,NoTau,NoTau
5788,Dstarstar_res,Dstarl,NoTau,NoTau
5789,Had,Had,NoTau,NoTau
5790,Dstarl,Had,NoTau,NoTau
5791,Dstarstar_res,Dstarl,NoTau,NoTau
5792,Dl,Had,NoTau,NoTau
5793,Dstarl,Had,NoTau,NoTau
5794,Dstarl,Dl,NoTau,NoTau
5795,Dstarl,Had,NoTau,NoTau
5796,Dstarl,Had,NoTau,NoTau
5797,Dl,Had,NoTau,NoTau
5798,Had,Dstarstar_res,NoTau,NoTau
5799,Had,Dstarl,NoTau,NoTau
5800,Dstarl,Dl,NoTau,NoTau
5801,Dstarl,Dstarstar_res,NoTau,NoTau
5802,Dstarl,Had,NoTau,NoTau
5803,Had,Dl,NoTau,NoTau
5804,Had,Had,NoTau,NoTau
5805,Dstarl,Had,NoTau,NoTau
5806,Dstarl,Had,NoTau,NoTau
5807,Dstarl,Dstarl,NoTau,NoTau
5808,Had,Had,NoTau,NoTau
5809,Dl,Dstarstar_res,NoTau,NoTau
5810,Dstarstar_res,Dstarl,NoTau,NoTau
5811,Dstarl,Dstarl,NoTau,NoTau
5812,Had,Had,NoTau,NoTau
5813,Had,Had,NoTau,NoTau
5814,Dl,Dl,NoTau,NoTau
5815,Had,Had,NoTau,NoTau
5816,Dstarl,Dtau,NoTau,tau_h
5817,Dstarl,Had,NoTau,NoTau
5818,Dstarl,Had,NoTau,NoTau
